Feature,Importance
cat__ChargerID_767,0.0
cat__ChargerID_766,0.0
cat__ChargerID_765,0.0
cat__ChargerID_799,0.0
cat__ChargerID_798,0.0
cat__ChargerID_797,0.0
cat__ChargerID_796,0.0
cat__ChargerID_793,0.0
cat__ChargerID_792,0.0
cat__ChargerID_791,0.0
cat__ChargerID_789,0.0
cat__ChargerID_788,0.0
cat__ChargerID_787,0.0
cat__ChargerID_786,0.0
cat__ChargerID_785,0.0
cat__ChargerID_784,0.0
cat__ChargerID_783,0.0
cat__ChargerID_782,0.0
cat__ChargerID_781,0.0
cat__ChargerID_816,0.0
cat__ChargerID_815,0.0
cat__ChargerID_814,0.0
cat__ChargerID_813,0.0
cat__ChargerID_812,0.0
cat__ChargerID_811,0.0
cat__ChargerID_810,0.0
cat__ChargerID_809,0.0
cat__ChargerID_808,0.0
cat__ChargerID_807,0.0
cat__ChargerID_806,0.0
cat__ChargerID_805,0.0
cat__ChargerID_804,0.0
cat__ChargerID_803,0.0
cat__ChargerID_802,0.0
cat__ChargerID_801,0.0
cat__ChargerID_833,0.0
cat__ChargerID_832,0.0
cat__ChargerID_831,0.0
cat__ChargerID_830,0.0
cat__ChargerID_829,0.0
cat__ChargerID_827,0.0
cat__ChargerID_826,0.0
cat__ChargerID_825,0.0
cat__ChargerID_824,0.0
cat__ChargerID_823,0.0
cat__ChargerID_822,0.0
cat__ChargerID_821,0.0
cat__ChargerID_820,0.0
cat__ChargerID_819,0.0
cat__ChargerID_818,0.0
cat__ChargerID_817,0.0
cat__ChargerID_849,0.0
cat__ChargerID_848,0.0
cat__ChargerID_847,0.0
cat__ChargerID_846,0.0
cat__ChargerID_845,0.0
cat__ChargerID_844,0.0
cat__ChargerID_843,0.0
cat__ChargerID_842,0.0
cat__ChargerID_841,0.0
cat__ChargerID_840,0.0
cat__ChargerID_839,0.0
cat__ChargerID_838,0.0
cat__ChargerID_837,0.0
cat__ChargerID_836,0.0
cat__ChargerID_835,0.0
cat__ChargerID_834,0.0
cat__ChargerID_870,0.0
cat__ChargerID_869,0.0
cat__ChargerID_868,0.0
cat__ChargerID_866,0.0
cat__ChargerID_864,0.0
cat__ChargerID_863,0.0
cat__ChargerID_862,0.0
cat__ChargerID_861,0.0
cat__ChargerID_858,0.0
cat__ChargerID_856,0.0
cat__ChargerID_855,0.0
cat__ChargerID_854,0.0
cat__ChargerID_853,0.0
cat__ChargerID_852,0.0
cat__ChargerID_851,0.0
cat__ChargerID_889,0.0
cat__ChargerID_887,0.0
cat__ChargerID_886,0.0
cat__ChargerID_882,0.0
cat__ChargerID_881,0.0
cat__ChargerID_880,0.0
cat__ChargerID_879,0.0
cat__ChargerID_878,0.0
cat__ChargerID_877,0.0
cat__ChargerID_876,0.0
cat__ChargerID_875,0.0
cat__ChargerID_874,0.0
cat__ChargerID_873,0.0
cat__ChargerID_872,0.0
cat__ChargerID_871,0.0
cat__ChargerID_907,0.0
cat__ChargerID_906,0.0
cat__ChargerID_905,0.0
cat__ChargerID_904,0.0
cat__ChargerID_902,0.0
cat__ChargerID_900,0.0
cat__ChargerID_899,0.0
cat__ChargerID_898,0.0
cat__ChargerID_897,0.0
cat__ChargerID_896,0.0
cat__ChargerID_895,0.0
cat__ChargerID_894,0.0
cat__ChargerID_893,0.0
cat__ChargerID_892,0.0
cat__ChargerID_891,0.0
cat__ChargerID_890,0.0
cat__ChargerID_923,0.0
cat__ChargerID_922,0.0
cat__ChargerID_921,0.0
cat__ChargerID_919,0.0
cat__ChargerID_918,0.0
cat__ChargerID_917,0.0
cat__ChargerID_916,0.0
cat__ChargerID_915,0.0
cat__ChargerID_913,0.0
cat__ChargerID_912,0.0
cat__ChargerID_911,0.0
cat__ChargerID_910,0.0
cat__ChargerID_909,0.0
cat__ChargerID_908,0.0
cat__ChargerID_939,0.0
cat__ChargerID_938,0.0
cat__ChargerID_937,0.0
cat__ChargerID_936,0.0
cat__ChargerID_935,0.0
cat__ChargerID_934,0.0
cat__ChargerID_933,0.0
cat__ChargerID_932,0.0
cat__ChargerID_930,0.0
cat__ChargerID_929,0.0
cat__ChargerID_928,0.0
cat__ChargerID_927,0.0
cat__ChargerID_926,0.0
cat__ChargerID_925,0.0
cat__ChargerID_924,0.0
cat__ChargerID_956,0.0
cat__ChargerID_955,0.0
cat__ChargerID_954,0.0
cat__ChargerID_953,0.0
cat__ChargerID_952,0.0
cat__ChargerID_951,0.0
cat__ChargerID_949,0.0
cat__ChargerID_948,0.0
cat__ChargerID_947,0.0
cat__ChargerID_946,0.0
cat__ChargerID_944,0.0
cat__ChargerID_942,0.0
cat__ChargerID_941,0.0
cat__ChargerID_940,0.0
cat__ChargerID_973,0.0
cat__ChargerID_972,0.0
cat__ChargerID_971,0.0
cat__ChargerID_970,0.0
cat__ChargerID_969,0.0
cat__ChargerID_968,0.0
cat__ChargerID_967,0.0
cat__ChargerID_966,0.0
cat__ChargerID_964,0.0
cat__ChargerID_963,0.0
cat__ChargerID_962,0.0
cat__ChargerID_961,0.0
cat__ChargerID_960,0.0
cat__ChargerID_959,0.0
cat__ChargerID_958,0.0
cat__ChargerID_957,0.0
cat__ChargerID_989,0.0
cat__ChargerID_988,0.0
cat__ChargerID_987,0.0
cat__ChargerID_986,0.0
cat__ChargerID_985,0.0
cat__ChargerID_984,0.0
cat__ChargerID_983,0.0
cat__ChargerID_982,0.0
cat__ChargerID_981,0.0
cat__ChargerID_980,0.0
cat__ChargerID_979,0.0
cat__ChargerID_978,0.0
cat__ChargerID_976,0.0
cat__ChargerID_975,0.0
cat__ChargerID_974,0.0
cat__ChargerID_1005,0.0
cat__ChargerID_1004,0.0
cat__ChargerID_1003,0.0
cat__ChargerID_1002,0.0
cat__ChargerID_1001,0.0
cat__ChargerID_1000,0.0
cat__ChargerID_999,0.0
cat__ChargerID_998,0.0
cat__ChargerID_997,0.0
cat__ChargerID_996,0.0
cat__ChargerID_995,0.0
cat__ChargerID_994,0.0
cat__ChargerID_993,0.0
cat__ChargerID_992,0.0
cat__ChargerID_991,0.0
cat__ChargerID_990,0.0
cat__ChargerID_1021,0.0
cat__ChargerID_1020,0.0
cat__ChargerID_1019,0.0
cat__ChargerID_1018,0.0
cat__ChargerID_1017,0.0
cat__ChargerID_1016,0.0
cat__ChargerID_1015,0.0
cat__ChargerID_1014,0.0
cat__ChargerID_1013,0.0
cat__ChargerID_1012,0.0
cat__ChargerID_1011,0.0
cat__ChargerID_1010,0.0
cat__ChargerID_1009,0.0
cat__ChargerID_1008,0.0
cat__ChargerID_1007,0.0
cat__ChargerID_1006,0.0
cat__ChargerID_1038,0.0
cat__ChargerID_1037,0.0
cat__ChargerID_1036,0.0
cat__ChargerID_1035,0.0
cat__ChargerID_1034,0.0
cat__ChargerID_1033,0.0
cat__ChargerID_1032,0.0
cat__ChargerID_1031,0.0
cat__ChargerID_1030,0.0
cat__ChargerID_1029,0.0
cat__ChargerID_1028,0.0
cat__ChargerID_1026,0.0
cat__ChargerID_1025,0.0
cat__ChargerID_1024,0.0
cat__ChargerID_1022,0.0
cat__ChargerID_1056,0.0
cat__ChargerID_1055,0.0
cat__ChargerID_1054,0.0
cat__ChargerID_1053,0.0
cat__ChargerID_1052,0.0
cat__ChargerID_1051,0.0
cat__ChargerID_1050,0.0
cat__ChargerID_1049,0.0
cat__ChargerID_1048,0.0
cat__ChargerID_1046,0.0
cat__ChargerID_1045,0.0
cat__ChargerID_1043,0.0
cat__ChargerID_1042,0.0
cat__ChargerID_1041,0.0
cat__ChargerID_1039,0.0
cat__ChargerID_1072,0.0
cat__ChargerID_1071,0.0
cat__ChargerID_1070,0.0
cat__ChargerID_1069,0.0
cat__ChargerID_1068,0.0
